'Account' in the Accounting section of Customer {0},客户{0}会计科目中的'账户',
'Allow Multiple Sales Orders Against a Customer's Purchase Order',允许针对客户采购订单创建多张销售订单,
'Based On' and 'Group By' can not be same,“根据”和“分组依据”不能相同,
'Days Since Last Order' must be greater than or equal to zero,“ 最后的订单到目前的天数”必须大于或等于零,
'Default {0} Account' in Company {1},公司{1}的'默认{0}科目',
'Entries' cannot be empty,“分录”不能为空,
'From Date' is required,“开始日期”是必需的,
'From Date' must be after 'To Date',“开始日期”必须早于'终止日期',
'Has Serial No' can not be 'Yes' for non-stock item,不能为非库存物料勾选'启用序列号管理',
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",物料{0}已禁用'发货前需质检'，无需创建质量检验单,
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",物料{0}已禁用'采购前需质检'，无需创建质量检验单,
'Opening','期初',
'To Date' is required,“结束日期”必需设置,
'To Package No.' cannot be less than 'From Package No.','至包装号'不能小于'自包装号',
'Update Stock' can not be checked because items are not delivered via {0},因为退货源单{0}未勾选“更新库存“，退货/退款单也不能勾选“更新库存“,
'Update Stock' cannot be checked for fixed asset sale,固定资产销售不能选择“更新库存”,
'{0}' account is already used by {1}. Use another account.,'{0}' 科目已被 {1} 占用. 请使用另一个科目,
'{0}' has been already added.,'{0}'已添加,
'{0}' should be in company currency {1}.,'{0}'必须使用公司货币{1},
(A) Qty After Transaction,(A) 变更后数量,
(B) Expected Qty After Transaction,(B) 预期变更后数量,
(C) Total Qty in Queue,(C) 队列总量,
(C) Total qty in queue,(C) 队列中总数量,
(D) Balance Stock Value,(D) 库存余额,
(Daily Yield * No of Units Produced) / 100,（日产量 × 产出单位数）÷ 100,
(E) Balance Stock Value in Queue,(E) 队列中库存余额,
(F) Change in Stock Value,(F) 库存价值变动,
(Forecast),(预测),
(G) Sum of Change in Stock Value,(G) 库存价值变动总和,
(Good Units Produced / Total Units Produced) × 100,（良品单位数 ÷ 总产出单位数）× 100,
(H) Change in Stock Value (FIFO Queue),(H) 库存价值变动（先进先出队列）,
(H) Valuation Rate,(H) 成本价,
(Hour Rate / 60) * Actual Operation Time,（工费率（每小时）/ 60）*实际工序时间,
(I) Valuation Rate,(I) 计价率,
(J) Valuation Rate as per FIFO,(J) 按先进先出法计价率,
(K) Valuation = Value (D) ÷ Qty (A),(K) 计价=价值(D) ÷ 数量(A),
(Purchase Order + Material Request + Actual Expense),（采购订单 + 物料申请 + 实际费用）,
(Total Workstation Time / Manufacturing Time) * 60,（工作站总时间 ÷ 制造时间）× 60,
(including),（包含）,
* Will be calculated in the transaction.,*将被计算在该交易内。,
0 - 30 Days,0-30天,
0-30,0-30,
0-30 Days,0-30天,
1 Loyalty Points = How much base currency?,多少钱积1分,
1 hr,1小时,
2 Yearly,每年2次,
3 Yearly,3年周期,
30 - 60 Days,30-60天,
30 mins,30分钟,
30-60,30-60,
30-60 Days,30-60天,
6 hrs,6小时,
60 - 90 Days,60-90天,
60-90,60-90,
60-90 Days,60-90天,
90 - 120 Days,90-120天,
90 Above,90天以上,
<0,<0,0
"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.",<b>无法创建资产。</b><br><br>您正尝试从 {2} {3} 创建 <b>{0} 个资产</b>。<br>然而，仅购买了 <b>{1} 个物料</b>，且已有 <b>{4} 个资产</b> 存在于 {5} 中。,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},对象{0}的<b>起始时间</b>不能晚于<b>结束时间</b>,
<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>第 {0} 行：</b>仓库 {2} 中的组合 {1} 包装物料不足：<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>注意事项</h4>
<ul>
<li>
您可以在 ""<b>主题 ""</b>和<b>""正文</b>""字段中使用 ""<a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja ""标记</a>来获取动态值。
</li><li>
    该类型中的所有字段均可在<b>doc</b>对象下使用，而邮件将发送给的客户的所有字段均可在<b>客户</b>对象下使用。
</li></ul>
<h4>示例</h4>
<!-- {% raw %} -->
<ul>
    <li><b>主题</b>：<br><br><pre><code> {{ customer.customer_name }}的账目报表 </code></pre><br></li>
    <li><b>正文</b>：<br><br>
<pre><code>您好 {{ customer.customer_name }},<br>PFA 您的会计报表从 {{ doc.from_date }} 转到 {{ doc.to_date }}。</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">其他详细信息</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">未找到匹配的银行交易</div>",
"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3>所有尺寸均以厘米为单位 </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",<h3>套件</h3><p>将一组<b>物料</b>组合成另一个<b>套件物料</b>.适用于套件包含的物料属于库存物料，套件本身只是用于销售，在物料主数据中勾选<code>允许销售</code>，不勾选<code>允许库存</code></p><h4>比如:</h4><p>你单独出售笔记本电脑和电脑包，希望给同时购买笔记本电脑和电脑包的客户特别的优惠，就可以将笔记本电脑和电脑包组合成一个套件</p>,
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>货币兑换设置帮助</h3>
<p>在端点、结果键和参数值中可以使用 3 个变量。</p>
<p>API 将获取 {transaction_date} 上 {from_currency} 和 {to_currency} 之间的汇率。</p>
<p>举例说明：如果您的端点是 exchange.com/2021-08-01，则必须输入 exchange.com/{transaction_date}。 </p>",
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>正文和结尾文本示例</h4>

<div>我们注意到您尚未支付 {{sales_invoice}} 的发票 {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}。特此友情提醒，发票到期日为 {{due_date}}。请立即支付应付金额，以免产生更多扣款费用。</div>

<h4>如何获取字段名</h4>

<p>您可以在模板中使用的字段名是文档中的字段。您可以通过设置 &gt; 自定义表单视图并选择文档类型（如销售发票）来查找任何文档的字段。</p>

<h4>模板</h4>

<p>模板使用 Jinja 模板语言编译。要了解有关 Jinja 的更多信息，请<a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">阅读此文档。</a></p>",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>合同模板示例</h4>

<pre>客户合同 {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>如何获取字段名</h4>

<p>您可以在合同模板中使用的字段名称是您创建模板的合同中的字段。您可以通过设置 &gt; 自定义表单视图并选择文档类型（如合同）来查找任何文档的字段。</p>

<h4>模板制作</h4>

<p>模板使用 Jinja 模板语言编译。要了解有关 Jinja 的更多信息，请<a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">阅读此文档。</a></p>",
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }} 
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>合同模板示例</h4>

<pre>客户合同 {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>如何获取字段名</h4>

<p>您可以在合同模板中使用的字段名称是您创建模板的合同中的字段。您可以通过设置 &gt; 自定义表单视图并选择文档类型（如合同）来查找任何文档的字段。</p>

<h4>模板制作</h4>

<p>模板使用 Jinja 模板语言编译。要了解有关 Jinja 的更多信息，请<a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">阅读此文档。</a></p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">或者</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">账号设置</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">大写金额</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">日期设置</label>",
<li>Clearance date must be after cheque date for row(s): {0}</li>,<li>以下行{0}的清算日期必须晚于支票日期：</li>,
<li>Item {0} in row(s) {1} billed more than {2}</li>,{0},
"<li>Packed Item {0}: Required {1}, Available {2}</li>",<li>包装物料 {0}：需要 {1}，可用 {2}</li>,
<li>Payment document required for row(s): {0}</li>,<li>以下行{0}需要付款凭证：</li>,
<li>{}</li>,<li>{}</li>,
<p>Cannot overbill for the following Items:</p>,<p>以下物料不允许超额开票：</p>,
<p>Following {0}s doesn't belong to Company {1} :</p>,<p>以下{0}不属于公司{1}：</p>,
"<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>在<b>电子邮件模板</b>中，您可以使用以下特殊变量：
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>:供应商可以设置新密码登录门户网站的链接。
        </li>
        <li>
            <code>{{ portal_link }}</code>:供应商门户网站中该询价单的链接。
        </li>
        <li>
            <code>{{ supplier_name }}</code>:供应商的公司名称。
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>:供应商的联系人。
        </li><li>
            <code>{{ user_fullname }}</code>:您的全名。
        </li>
    </ul>
<p></p>
<p>除此之外，您还可以访问此 RFQ 中的所有值，如 <code>{{ message_for_supplier }}</code>或 <code>{{ terms }}</code>.</p>",
<p>Please correct the following row(s):</p><ul>,<p>请修正以下行：</p><ul>,
<p>Posting Date {0} cannot be before Purchase Order date for the following:</p><ul>,<p>以下项目的过账日期{0}不得早于采购订单日期：</p><ul>,
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?",<p>销售设置中未将价格表费率设为可编辑。在此情况下，将<strong>价格表更新依据</strong>设为<strong>价格表费率</strong>将禁用物料价格自动更新功能。</p>是否确认继续操作？,
"<p>To allow over-billing, please set allowance in Accounts Settings.</p>",<p>要允许超额开票，请在账户设置中设置容差。</p>,
"<pre><h5>Message Example</h5>

&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>信息示例</h5>

&lt;p&gt; 感谢您成为 {{ doc.company }}的一员！希望您能享受我们的服务。&lt;/p&gt;

&lt;p&gt; 随信附上电子账单。未付金额为 {{ doc.grand_total }}。&lt;/p&gt;

&lt;p&gt; 我们不希望您为了支付账单而花费时间四处奔波。<br>毕竟，生活是美好的，您手中的时间应该用来享受生活！<br>因此，我们有一些小方法来帮助您获得更多的生活时间！ &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; 点击此处付款 &lt;/a&gt;

</pre>
",
"<pre><h5>Message Example</h5>

&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>消息示例</h5>

&lt;p&gt;亲爱的 {{ doc.contact_person }}，&lt;/p&gt;

&lt;p&gt;请求支付 {{ doc.doctype }}、 {{ doc.name }} 和 {{ doc.grand_total }}的费用。&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; 点击此处支付 &lt;/a&gt;

</pre>
",
<strong>Grand Total:</strong> {0},<strong>总计：</strong> {0},
<strong>Outstanding Amount:</strong> {0},<strong>未清金额：</strong> {0},
"<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>
         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>

         </td>
         <td>
                    <p>To access document field use doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    
          </td>
</tr>

</tbody>
</table>






","<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">子文档</th>
         <th class=""table-sr"" style=""width: 50%;"">非子文档</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> 要访问父文档字段，请使用 parent.字段名；要访问子表文档字段，请使用doc.字段名 </p>

         </td>
         <td>
                    <p>要访问文档字段，请使用 doc.字段名 </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>示例： </b> parent.doctype == ""入库单"" 和 doc.item_code == ""测试物料"" </p>

        </td>
         <td>
                   <p><b>示例： </b> doc.doctype == “入库单” 和 doc.purpose == “生产用途”</p>    
          </td>
</tr>

</tbody>
</table>






",
A - B,A - B,
A - C,A - C,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,同名的客户组已经存在，请更改客户姓名或重命名该客户组,
A Holiday List can be added to exclude counting these days for the Workstation.,可添加假日清单以排除工作站的特定日期计算,
A Lead requires either a person's name or an organization's name,个人姓名或机构名称是线索的必填信息,
A Packing Slip can only be created for Draft Delivery Note.,装箱单仅可为草稿状态的交货单创建,
"A Price List is a collection of Item Prices either Selling, Buying, or both",代表一组物料的销售价，采购价,
"A Product or a Service that is bought, sold or kept in stock.",可采购，销售或作为存货的产品或服务。,
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,对账任务{0}正在使用相同筛选条件运行，当前无法对账,
A Reverse Journal Entry {0} already exists for this Journal Entry.,本日记账凭证已存在冲销凭证{0}。,
A condition for a Shipping Rule,发货规则的一个条件,
A customer must have primary contact email.,客户须有主联络邮箱,
A driver must be set to submit.,必须设置驾驶员才能提交,
A logical Warehouse against which stock entries are made.,创建物料移动所依赖的逻辑仓库。,
A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,创建序列号时发生命名规则冲突。请更改物料 {0} 的命名规则。,
A new appointment has been created for you with {0},已为您创建与{0}的新预约,
A new fiscal year has been automatically created.,新会计年度已自动创建。,
A template with tax category {0} already exists. Only one template is allowed with each tax category,每个税种只能分派一个税费模板， 税种 {0} 已分派了税费模板,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,授权销售公司产品的第三方分销商/经销商/授权代理商/分支机构/转销商,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
ALL records will be deleted (entire DocType cleared),所有记录将被删除（整个文档类型清空）,
AMC Expiry (Serial),年度维护合同到期（序列号）,
AMC Expiry Date,年底维保合同到期日,
API,API,
API Details,接口详情,
API Endpoint,API 端点,
API Key,API 密钥,
AWB Number,空运提单,
Abbr,简称,
Abbreviation,简称,
Abbreviation already used for another company,简称已用于另一家公司,
Abbreviation is mandatory,简称字段必填,
Abbreviation: {0} must appear only once,简称{0}必须唯一,
About,关于,
About {0} minute remaining,还剩约 {0} 分钟,
About {0} minutes remaining,还剩约 {0} 分钟,
About {0} seconds remaining,还剩约 {0} 秒,
Above,以上,
Above 120 Days,超120天,
Academics User,培训教管,
Acceptance Criteria Formula,标准要求条件公式,
Acceptance Criteria Value,标准要求,
Accepted,已接受,
Accepted Qty,收货数量,
Accepted Qty in Stock UOM,收货数量(库存单位),
Accepted Quantity,收货数量,
Accepted Warehouse,仓库,
Access Key,访问密钥,
Access Key is required for Service Provider: {0},服务商{0}必须提供访问密钥,
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,依据CEFACT/ICG/2010/IC013或IC010标准,
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.",根据物料清单{0}，库存交易缺少物料'{1}',
Account,科目,
Account Balance,科目余额,
Account Category,科目类别,
Account Category Name,科目类别名称,
Cash and Cash Equivalents,现金及现金等价物,
Cost of Goods Sold,销售成本,
Current Tax Liabilities,应交税费,
Finance Costs,财务费用,
Intangible Assets,无形资产,
Investment Income,投资收益,
Long-term Borrowings,长期借款,
Long-term Investments,长期投资,
Long-term Provisions,长期预计负债,
Operating Expenses,营业费用,
Other Current Assets,其他流动资产,
Other Current Liabilities,其他流动负债,
Other Direct Costs,其他直接成本,
Other Non-current Assets,其他非流动资产,
Other Non-current Liabilities,其他非流动负债,
Other Operating Income,其他业务收入,
Other Payables,其他应付款,
Other Receivables,其他应收款,
Reserves and Surplus,盈余公积,
Revenue from Operations,营业收入,
Share Capital,股本,
Short-term Borrowings,短期借款,
Short-term Investments,短期投资,
Short-term Provisions,短期预计负债,
Stock Assets,存货资产,
Tangible Assets,有形资产,
Tax Expense,税费支出,
Trade Payables,应付账款,
Trade Receivables,应收账款,
Account Closing Balance,科目结账余额,
Account Currency,科目货币,
Account Currency (From),源科目货币,
Account Currency (To),目标科目货币,
Account Data,科目数据,
Account Detail Level,科目明细级别,
Account Details,账户信息,
Account Head,科目,
Account Manager,客户经理,
Account Missing,科目缺失,
Account Name,科目名称,
Account Not Found,未找到账户,
Account Number,科目代码,
Account Number {0} already used in account {1},已在科目{1}中使用的科目代码{0},
Account Opening Balance,账户期初余额,
Account Paid From,贷方科目,
Account Paid To,借方科目,
Account Pay Only,账户仅用于支付,
Account Subtype,账户子类型,
Account Type,科目类型,
Account Value,会计账金额,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目余额在'贷方'，余额方向不能设置为'借方',
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",科目余额在'借方'，余额方向不能设置为'贷方',
Account for Change Amount,零钱科目,
Account is mandatory,科目为必填项,
Account is mandatory to get payment entries,请输入科目以获取收付款凭证,
Branch,分支机构,
Branch Name,分支机构名称,
Department,部门,
Department Name,部门名称,
Employee,员工,
Employee Name,员工姓名,
Location,地点,
Location Name,地点名称,
Accounting Dimension,辅助核算,
Accounting Dimension Detail,辅助核算明细,
Accounting Dimension Filter,辅助核算过滤,
Accounting Dimensions,辅助核算,
Default Dimension,默认辅助核算,
Dimension Details,辅助核算明细,
Dimension Defaults,辅助核算默认值,
Accounting Dimensions ,核算维度 ,
Accounting Dimensions Filter,辅助核算过滤条件,
Account is not set for the dashboard chart {0},尚未为统计图表{0}设置科目,
Account not Found,未找到科目,
Account with child nodes cannot be converted to ledger,有下级科目(子节点)的科目不能转换为记账科目,
Account with child nodes cannot be set as ledger,有子节点的科目不能被设置为记账科目,
Account with existing transaction can not be converted to group.,有交易的科目不能被转换为组。,
Account with existing transaction can not be deleted,有交易的科目不能被删除,
Account with existing transaction cannot be converted to ledger,已关联过账交易的科目不能被转换为记账科目,
Account {0} added multiple times,科目{0}被重复添加,
Account {0} cannot be converted to Group as it is already set as {1} for {2}.,科目{0}无法转换为组，因其已设置为{2}的{1}。,
Account {0} cannot be disabled as it is already set as {1} for {2}.,科目{0}无法禁用，因其已设置为{2}的{1}。,
Account {0} does not belong to company {1},科目 {0} 不属于公司 {1},
Account {0} does not belong to company: {1},科目{0}不属于公司：{1},
Account {0} does not exist,科目{0}不存在,
Account {0} does not exists,科目{0}不存在,
Account {0} does not exists in the dashboard chart {1},统计图表{1}中未包含科目{0},
Account {0} does not match with Company {1} in Mode of Account: {2},科目{0}与科目模式{2}中的公司{1}不符,
Account {0} doesn't belong to Company {1},科目{0}不属于公司{1},
Account {0} exists in parent company {1}.,科目{0}存在于上级公司{1},
Account {0} is added in the child company {1},子公司{1}中添加了科目{0},
Account {0} is disabled.,科目{0}已禁用。,
Account {0} is frozen,科目{0}已冻结,
Account {0} is invalid. Account Currency must be {1},科目{0}状态为失效。科目货币必须是{1},
Account {0} should be of type Expense,科目{0}应为费用类型科目。,
Account {0}: Parent account {1} can not be a ledger,科目{0}：父(上级)科目{1}不能是记账科目,
Account {0}: Parent account {1} does not belong to company: {2},科目{0}的上级科目{1}不属于公司{2},
Account {0}: Parent account {1} does not exist,科目{0}的上级科目{1}不存在,
Account {0}: You can not assign itself as parent account,科目{0}不能是自己的上级科目,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,<b>{0}</b>是在建工程科目，不能通过日记账凭证更新,
Account: {0} can only be updated via Stock Transactions,科目{0}只能通过库存相关业务更新,
Account: {0} is not permitted under Payment Entry,收付款凭证中不能使用科目{0},
Account: {0} with currency: {1} can not be selected,科目：{0}货币：{1}不能选择,
Accounting,会计,
Accounting Details,会计信息,
Accounting Dimension,辅助核算,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,请为资产科目{1}输入辅助核算<b>{0}</b>,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,请为损益科目{1}输入辅助核算<b>{0}</b>,
Accounting Dimension Detail,辅助核算信息,
Accounting Dimension Filter,辅助核算过滤,
